sample_id,filename,speed_kmph,speed_mps,distance_m,angle_deg
sample_0000001,KiaSportage_31.wav,31.0,8.61111111111111,0.5,0.0
sample_0000002,KiaSportage_33.wav,33.0,9.166666666666666,0.5,0.0
sample_0000003,KiaSportage_35.wav,35.0,9.722222222222221,0.5,0.0
sample_0000004,KiaSportage_38.wav,38.0,10.555555555555555,0.5,0.0
sample_0000005,KiaSportage_41.wav,41.0,11.38888888888889,0.5,0.0
sample_0000006,KiaSportage_44.wav,44.0,12.222222222222221,0.5,0.0
sample_0000007,KiaSportage_46.wav,46.0,12.777777777777777,0.5,0.0
sample_0000008,KiaSportage_48.wav,48.0,13.333333333333332,0.5,0.0
sample_0000009,KiaSportage_51.wav,51.0,14.166666666666666,0.5,0.0
sample_0000010,KiaSportage_53.wav,53.0,14.722222222222221,0.5,0.0
sample_0000011,KiaSportage_55.wav,55.0,15.277777777777777,0.5,0.0
sample_0000012,KiaSportage_58.wav,58.0,16.11111111111111,0.5,0.0
sample_0000013,KiaSportage_61.wav,61.0,16.944444444444443,0.5,0.0
sample_0000014,KiaSportage_63.wav,63.0,17.5,0.5,0.0
sample_0000015,KiaSportage_65.wav,65.0,18.055555555555554,0.5,0.0
sample_0000016,KiaSportage_68.wav,68.0,18.88888888888889,0.5,0.0
sample_0000017,KiaSportage_69.wav,69.0,19.166666666666668,0.5,0.0
sample_0000018,KiaSportage_72.wav,72.0,20.0,0.5,0.0
sample_0000019,KiaSportage_74.wav,74.0,20.555555555555554,0.5,0.0
sample_0000020,KiaSportage_77.wav,77.0,21.38888888888889,0.5,0.0
sample_0000021,KiaSportage_78.wav,78.0,21.666666666666668,0.5,0.0
sample_0000022,KiaSportage_80.wav,80.0,22.22222222222222,0.5,0.0
sample_0000023,KiaSportage_83.wav,83.0,23.055555555555554,0.5,0.0
sample_0000024,KiaSportage_85.wav,85.0,23.61111111111111,0.5,0.0
sample_0000025,KiaSportage_86.wav,86.0,23.88888888888889,0.5,0.0
sample_0000026,KiaSportage_89.wav,89.0,24.72222222222222,0.5,0.0
sample_0000027,KiaSportage_91.wav,91.0,25.27777777777778,0.5,0.0
sample_0000028,KiaSportage_93.wav,93.0,25.833333333333332,0.5,0.0
sample_0000029,KiaSportage_96.wav,96.0,26.666666666666664,0.5,0.0
sample_0000030,KiaSportage_98.wav,98.0,27.22222222222222,0.5,0.0
sample_0000031,KiaSportage_100.wav,100.0,27.77777777777778,0.5,0.0
sample_0000032,KiaSportage_103.wav,103.0,28.61111111111111,0.5,0.0
sample_0000033,KiaSportage_105.wav,105.0,29.166666666666664,0.5,0.0
