sample_id,filename,speed_kmph,speed_mps,distance_m,angle_deg
sample_0000001,NissanQashQai_35.wav,35.0,9.722222222222221,0.5,0.0
sample_0000002,NissanQashQai_38.wav,38.0,10.555555555555555,0.5,0.0
sample_0000003,NissanQashQai_40.wav,40.0,11.11111111111111,0.5,0.0
sample_0000004,NissanQashQai_42.wav,42.0,11.666666666666666,0.5,0.0
sample_0000005,NissanQashQai_45.wav,45.0,12.5,0.5,0.0
sample_0000006,NissanQashQai_48.wav,48.0,13.333333333333332,0.5,0.0
sample_0000007,NissanQashQai_50.wav,50.0,13.88888888888889,0.5,0.0
sample_0000008,NissanQashQai_53.wav,53.0,14.722222222222221,0.5,0.0
sample_0000009,NissanQashQai_55.wav,55.0,15.277777777777777,0.5,0.0
sample_0000010,NissanQashQai_58.wav,58.0,16.11111111111111,0.5,0.0
sample_0000011,NissanQashQai_60.wav,60.0,16.666666666666668,0.5,0.0
sample_0000012,NissanQashQai_61.wav,61.0,16.944444444444443,0.5,0.0
sample_0000013,NissanQashQai_64.wav,64.0,17.77777777777778,0.5,0.0
sample_0000014,NissanQashQai_65.wav,65.0,18.055555555555554,0.5,0.0
sample_0000015,NissanQashQai_68.wav,68.0,18.88888888888889,0.5,0.0
sample_0000016,NissanQashQai_70.wav,70.0,19.444444444444443,0.5,0.0
sample_0000017,NissanQashQai_73.wav,73.0,20.27777777777778,0.5,0.0
sample_0000018,NissanQashQai_75.wav,75.0,20.833333333333332,0.5,0.0
sample_0000019,NissanQashQai_78.wav,78.0,21.666666666666668,0.5,0.0
sample_0000020,NissanQashQai_80.wav,80.0,22.22222222222222,0.5,0.0
sample_0000021,NissanQashQai_82.wav,82.0,22.77777777777778,0.5,0.0
sample_0000022,NissanQashQai_85.wav,85.0,23.61111111111111,0.5,0.0
sample_0000023,NissanQashQai_88.wav,88.0,24.444444444444443,0.5,0.0
sample_0000024,NissanQashQai_90.wav,90.0,25.0,0.5,0.0
sample_0000025,NissanQashQai_93.wav,93.0,25.833333333333332,0.5,0.0
sample_0000026,NissanQashQai_94.wav,94.0,26.11111111111111,0.5,0.0
sample_0000027,NissanQashQai_96.wav,96.0,26.666666666666664,0.5,0.0
sample_0000028,NissanQashQai_98.wav,98.0,27.22222222222222,0.5,0.0
sample_0000029,NissanQashQai_102.wav,102.0,28.333333333333332,0.5,0.0
