sample_id,filename,speed_kmph,speed_mps,distance_m,angle_deg
sample_0000001,Peugeot307_30.wav,30.0,8.333333333333334,0.5,0.0
sample_0000002,Peugeot307_33.wav,33.0,9.166666666666666,0.5,0.0
sample_0000003,Peugeot307_35.wav,35.0,9.722222222222221,0.5,0.0
sample_0000004,Peugeot307_38.wav,38.0,10.555555555555555,0.5,0.0
sample_0000005,Peugeot307_40.wav,40.0,11.11111111111111,0.5,0.0
sample_0000006,Peugeot307_43.wav,43.0,11.944444444444445,0.5,0.0
sample_0000007,Peugeot307_45.wav,45.0,12.5,0.5,0.0
sample_0000008,Peugeot307_47.wav,47.0,13.055555555555555,0.5,0.0
sample_0000009,Peugeot307_48.wav,48.0,13.333333333333332,0.5,0.0
sample_0000010,Peugeot307_50.wav,50.0,13.88888888888889,0.5,0.0
sample_0000011,Peugeot307_53.wav,53.0,14.722222222222221,0.5,0.0
sample_0000012,Peugeot307_56.wav,56.0,15.555555555555555,0.5,0.0
sample_0000013,Peugeot307_59.wav,59.0,16.38888888888889,0.5,0.0
sample_0000014,Peugeot307_60.wav,60.0,16.666666666666668,0.5,0.0
sample_0000015,Peugeot307_63.wav,63.0,17.5,0.5,0.0
sample_0000016,Peugeot307_66.wav,66.0,18.333333333333332,0.5,0.0
sample_0000017,Peugeot307_69.wav,69.0,19.166666666666668,0.5,0.0
sample_0000018,Peugeot307_72.wav,72.0,20.0,0.5,0.0
sample_0000019,Peugeot307_73.wav,73.0,20.27777777777778,0.5,0.0
sample_0000020,Peugeot307_76.wav,76.0,21.11111111111111,0.5,0.0
sample_0000021,Peugeot307_79.wav,79.0,21.944444444444443,0.5,0.0
sample_0000022,Peugeot307_82.wav,82.0,22.77777777777778,0.5,0.0
sample_0000023,Peugeot307_85.wav,85.0,23.61111111111111,0.5,0.0
sample_0000024,Peugeot307_88.wav,88.0,24.444444444444443,0.5,0.0
sample_0000025,Peugeot307_91.wav,91.0,25.27777777777778,0.5,0.0
sample_0000026,Peugeot307_94.wav,94.0,26.11111111111111,0.5,0.0
sample_0000027,Peugeot307_97.wav,97.0,26.944444444444443,0.5,0.0
sample_0000028,Peugeot307_101.wav,101.0,28.055555555555554,0.5,0.0
sample_0000029,Peugeot307_103.wav,103.0,28.61111111111111,0.5,0.0
